Type,Block,Street Name,Postal,Latitude,Longitude
HDB,305,BT BATOK ST 31,650305,1.357861008,103.7479345
HDB,305,CANBERRA RD,750305,1.445570397,103.8220626
HDB,305,CHOA CHU KANG AVE 4,680305,1.384327856,103.7429171
HDB,305,CLEMENTI AVE 4,120305,1.322061089,103.766014
HDB,305,HOUGANG AVE 5,530305,1.367103491,103.8947311
HDB,305,JURONG EAST ST 32,600305,1.345436568,103.7352406
HDB,305,SERANGOON AVE 2,550305,1.353848111,103.8669618
HDB,305,SHUNFU RD,570305,1.350116512,103.8387306
HDB,305,TAMPINES ST 32,520305,1.352413467,103.9558713
HDB,305,UBI AVE 1,400305,1.329421112,103.9023175
HDB,305,YISHUN CTRL,760305,1.430866568,103.8394259
HDB,305A,ANCHORVALE LINK,541305,1.38840183,103.8881671
HDB,305A,PUNGGOL RD,821305,1.405079118,103.906706
HDB,305B,ANCHORVALE LINK,542305,1.389195145,103.8885985
HDB,305B,PUNGGOL RD,822305,1.405351919,103.9062507
HDB,305C,ANCHORVALE LINK,543305,1.389146397,103.887872
HDB,305D,ANCHORVALE LINK,544305,1.38903343,103.8872999
HDB,305D,PUNGGOL DR,824305,1.405832084,103.906791
HDB,306,ANG MO KIO AVE 1,560306,1.365725522,103.8457506
HDB,306,BT BATOK ST 31,650306,1.358287839,103.7475204
HDB,306,CANBERRA RD,751306,1.445358562,103.8225877
HDB,306,CHOA CHU KANG AVE 4,681306,1.385150035,103.7429682
HDB,306,CLEMENTI AVE 4,120306,1.321438261,103.7659013
HDB,306,HOUGANG AVE 5,530306,1.367208424,103.8954901
HDB,306,JURONG EAST ST 32,600306,1.346070466,103.7352527
HDB,306,SERANGOON AVE 2,551306,1.354351338,103.8667345
HDB,306,SHUNFU RD,570306,1.350291432,103.8393013
HDB,306,TAMPINES ST 32,520306,1.352928055,103.9558671
HDB,306,WOODLANDS ST 31,730306,1.42992992,103.7746366
HDB,306,YISHUN CTRL,760306,1.431084969,103.8402478
HDB,306A,ANCHORVALE LINK,541306,1.390179672,103.8890486
HDB,306A,PUNGGOL PL,821306,1.406092596,103.9053953
HDB,306B,ANCHORVALE LINK,542306,1.389672461,103.8886142
HDB,306B,PUNGGOL PL,822306,1.405792305,103.9057772
HDB,306C,ANCHORVALE LINK,543306,1.389887699,103.8881145
HDB,306C,PUNGGOL PL,823306,1.406403852,103.9059582
HDB,306D,PUNGGOL DR,824306,1.406081435,103.9064384
HDB,307,BT BATOK ST 31,650307,1.358170334,103.7481187
HDB,307,CANBERRA RD,750307,1.445922619,103.8216573
HDB,307,CHOA CHU KANG AVE 4,680307,1.385234284,103.7427049
HDB,307,CLEMENTI AVE 4,120307,1.321415897,103.7671055
HDB,307,HOUGANG AVE 5,530307,1.366653957,103.8950128
HDB,307,JURONG EAST ST 32,600307,1.346521518,103.7348431
HDB,307,SERANGOON AVE 2,550307,1.354628177,103.8670687
HDB,307,SHUNFU RD,570307,1.350480166,103.8387713
HDB,307,TAMPINES ST 32,520307,1.35297508,103.9563536
HDB,307,WOODLANDS AVE 1,730307,1.429409278,103.7764371
HDB,307A,ANCHORVALE RD,541307,1.389397564,103.8880427
HDB,307A,ANG MO KIO AVE 1,561307,1.366095605,103.8445195
HDB,307B,ANCHORVALE RD,542307,1.389544653,103.8874435
HDB,307B,ANG MO KIO AVE 1,562307,1.365834284,103.8446291
HDB,307C,ANCHORVALE RD,543307,1.389901384,103.8871214
HDB,307C,ANG MO KIO AVE 1,563307,1.365560929,103.8451674
HDB,307D,ANCHORVALE RD,544307,1.390298901,103.8864893
HDB,308,BT BATOK ST 31,650308,1.358550292,103.7481047
HDB,308,CANBERRA RD,750308,1.446326935,103.8217445
HDB,308,CLEMENTI AVE 4,120308,1.32105185,103.7669104
HDB,308,HOUGANG AVE 5,530308,1.366894586,103.8960171
HDB,308,JURONG EAST ST 32,600308,1.347307908,103.734584
HDB,308,SERANGOON AVE 2,550308,1.35417533,103.8659671
HDB,308,SHUNFU RD,570308,1.350582529,103.8378468
HDB,308,TAMPINES ST 32,520308,1.352867474,103.956735
HDB,308,WOODLANDS AVE 1,730308,1.429804224,103.7765607
HDB,308,YISHUN RING RD,760308,1.431229838,103.84056
HDB,308A,ANCHORVALE RD,541308,1.389894906,103.8859202
HDB,308A,ANG MO KIO AVE 1,561308,1.365479516,103.8440867
HDB,308A,PUNGGOL WALK,821308,1.407754256,103.9009062
HDB,308B,ANCHORVALE RD,542308,1.389930951,103.8865607
HDB,308B,ANG MO KIO AVE 1,562308,1.365225459,103.8444271
HDB,308B,PUNGGOL WALK,822308,1.407766768,103.8995809
HDB,308C,ANCHORVALE RD,543308,1.389227472,103.8868447
HDB,308C,PUNGGOL WALK,823308,1.408006949,103.8990744
HDB,309,BT BATOK ST 31,650309,1.358283281,103.7487716
HDB,309,CANBERRA RD,750309,1.446757346,103.8215624
HDB,309,CLEMENTI AVE 4,120309,1.320919814,103.7663776
HDB,309,HOUGANG AVE 5,530309,1.366209429,103.8951449
HDB,309,JURONG EAST ST 32,600309,1.34753691,103.7340333
HDB,309,SERANGOON AVE 2,550309,1.353805653,103.8652141
HDB,309,SHUNFU RD,570309,1.350912963,103.8375852
HDB,309,TAMPINES ST 32,520309,1.353463173,103.9567911
HDB,309,WOODLANDS AVE 1,730309,1.429747616,103.7760153
HDB,309,YISHUN RING RD,760309,1.432376504,103.8405877
HDB,309A,ANCHORVALE RD,541309,1.391704066,103.8861374
HDB,309A,ANG MO KIO ST 31,562309,1.365031842,103.8453017
HDB,309B,ANCHORVALE RD,542309,1.391416945,103.8858724
HDB,309C,ANCHORVALE RD,543309,1.391098224,103.8857612
HDB,309D,ANCHORVALE RD,544309,1.390811104,103.8854962
HDB,310,BT BATOK ST 32,650310,1.35964072,103.7488291
HDB,310,CANBERRA RD,750310,1.44703561,103.8220987
HDB,310,CLEMENTI AVE 4,120310,1.32027016,103.7659449
HDB,310,HOUGANG AVE 5,530310,1.366338508,103.8962051
HDB,310,JURONG EAST ST 32,600310,1.348208363,103.7337993
HDB,310,SERANGOON AVE 2,550310,1.353623082,103.8657166
HDB,310,SHUNFU RD,570310,1.350851679,103.8386791
HDB,310,TAMPINES ST 32,520310,1.353463207,103.9571131
HDB,310,WOODLANDS ST 31,730310,1.430103781,103.7759771
HDB,310,YISHUN RING RD,760310,1.432359225,103.8410974
HDB,310A,ANCHORVALE RD,541310,1.390905315,103.885025
HDB,310A,ANG MO KIO AVE 1,561310,1.364812561,103.8438442
HDB,310A,PUNGGOL WALK,821310,1.408700889,103.9013266
HDB,310B,ANCHORVALE RD,542310,1.390904607,103.8846829
HDB,310B,ANG MO KIO AVE 1,562310,1.364643209,103.8442566
HDB,310B,PUNGGOL WALK,822310,1.409322675,103.9008018
HDB,310C,ANG MO KIO AVE 1,563310,1.364608575,103.8448546
HDB,310C,PUNGGOL WALK,823310,1.409710961,103.8998984
HDB,311,ANG MO KIO AVE 3,560311,1.366639736,103.8487697
HDB,311,BT BATOK ST 32,650311,1.360082515,103.7483417
HDB,311,CANBERRA RD,750311,1.446318068,103.8225383
HDB,311,HOUGANG AVE 5,530311,1.365670731,103.8948582
HDB,311,JURONG EAST ST 32,600311,1.347666576,103.7325787
HDB,311,SERANGOON AVE 2,550311,1.353762881,103.8663265
HDB,311,SHUNFU RD,570311,1.350882203,103.8393397
HDB,311,TAMPINES ST 33,521311,1.352822719,103.957613
HDB,311,UBI AVE 1,400311,1.329941101,103.9033014
HDB,311,WOODLANDS ST 31,730311,1.43045858,103.7761696
HDB,311,YISHUN RING RD,760311,1.431575071,103.8408153
HDB,311A,ANCHORVALE LANE,541311,1.390964682,103.8840603
HDB,311A,CLEMENTI AVE 4,121311,1.319116568,103.7654922
HDB,311B,ANCHORVALE LANE,542311,1.391251984,103.884325
HDB,311B,CLEMENTI AVE 4,122311,1.319446691,103.7656494
HDB,311C,ANCHORVALE LANE,543311,1.391571274,103.8844362
HDB,311C,CLEMENTI AVE 4,123311,1.320105793,103.7655735
HDB,311D,ANCHORVALE LANE,544311,1.39185684,103.8847024
HDB,312,ANG MO KIO AVE 3,560312,1.366200368,103.8487784
HDB,312,BT BATOK ST 32,650312,1.359878751,103.7473357
HDB,312,HOUGANG AVE 5,530312,1.365458778,103.894249
HDB,312,JURONG EAST ST 32,600312,1.346914645,103.7321743
HDB,312,SEMBAWANG DR,750312,1.444502658,103.8210095
HDB,312,SERANGOON AVE 2,550312,1.353288108,103.8657964
HDB,312,SHUNFU RD,570312,1.351204616,103.8387168
HDB,312,TAMPINES ST 33,520312,1.352570368,103.9572573
HDB,312,UBI AVE 1,400312,1.32967348,103.9037843
HDB,312,WOODLANDS ST 31,730312,1.430688092,103.775652
